GO.ID	Term	Annotated	Significant	Expected	KS
GO:0001510	RNA methylation	172	172	172	9.3e-30
GO:0006412	translation	619	619	619	3.8e-29
GO:0042254	ribosome biogenesis	332	332	332	1.1e-14
GO:0009220	pyrimidine ribonucleotide biosynthetic process	133	133	133	4.1e-09
GO:0046482	para-aminobenzoic acid metabolic process	38	38	38	1.2e-07
GO:0046686	response to cadmium ion	459	459	459	1.5e-07
GO:0009407	toxin catabolic process	203	203	203	8.1e-07
GO:0042545	cell wall modification	209	209	209	2.8e-06
GO:0010583	response to cyclopentenone	143	143	143	6.1e-06
GO:0009414	response to water deprivation	393	393	393	7.8e-06
GO:0009664	plant-type cell wall organization	246	246	246	4.3e-05
GO:0006626	protein targeting to mitochondrion	104	104	104	8.6e-05
GO:0006414	translational elongation	31	31	31	9.0e-05
GO:0006457	protein folding	270	270	270	0.00029
GO:0000028	ribosomal small subunit assembly	6	6	6	0.00037
GO:0009938	negative regulation of gibberellic acid mediated signaling pathway	8	8	8	0.00075
GO:0044036	cell wall macromolecule metabolic process	306	306	306	0.00077
GO:0006164	purine nucleotide biosynthetic process	62	62	62	0.00125
GO:0051707	response to other organism	1351	1351	1351	0.00169
GO:0048444	floral organ morphogenesis	173	173	173	0.00231
GO:0000398	mRNA splicing, via spliceosome	95	95	95	0.00237
GO:0006606	protein import into nucleus	128	128	128	0.00258
GO:0009834	plant-type secondary cell wall biogenesis	47	47	47	0.00263
GO:0080003	thalianol metabolic process	3	3	3	0.00284
GO:0042787	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	12	12	12	0.00289
GO:0006873	cellular ion homeostasis	172	172	172	0.00307
GO:0034976	response to endoplasmic reticulum stress	336	336	336	0.00331
GO:0006355	regulation of transcription, DNA-templated	1610	1610	1610	0.00364
GO:2000377	regulation of reactive oxygen species metabolic process	194	194	194	0.00413
GO:0000902	cell morphogenesis	536	536	536	0.00487
GO:0071786	endoplasmic reticulum tubular network organization	4	4	4	0.00512
GO:0006629	lipid metabolic process	1283	1283	1283	0.00522
GO:0008356	asymmetric cell division	22	22	22	0.00547
GO:0010043	response to zinc ion	59	59	59	0.00771
GO:0010089	xylem development	84	84	84	0.00778
GO:0045490	pectin catabolic process	4	4	4	0.00784
GO:0031930	mitochondria-nucleus signaling pathway	3	3	3	0.00829
GO:0009830	cell wall modification involved in abscission	14	14	14	0.00860
GO:0048608	reproductive structure development	1522	1522	1522	0.00902
GO:0009909	regulation of flower development	330	330	330	0.00956
GO:0009651	response to salt stress	761	761	761	0.00978
GO:0006096	glycolytic process	191	191	191	0.00997
GO:0009088	threonine biosynthetic process	3	3	3	0.01011
GO:0007031	peroxisome organization	124	124	124	0.01084
GO:0051301	cell division	329	329	329	0.01088
GO:0009611	response to wounding	316	316	316	0.01093
GO:0010325	raffinose family oligosaccharide biosynthetic process	11	11	11	0.01178
GO:0009733	response to auxin	376	376	376	0.01200
GO:0009955	adaxial/abaxial pattern specification	81	81	81	0.01208
GO:0080167	response to karrikin	121	121	121	0.01208
GO:0048573	photoperiodism, flowering	158	158	158	0.01248
GO:0009805	coumarin biosynthetic process	54	54	54	0.01286
GO:0001666	response to hypoxia	83	83	83	0.01329
GO:0009845	seed germination	218	218	218	0.01406
GO:0042274	ribosomal small subunit biogenesis	18	18	18	0.01416
GO:0009060	aerobic respiration	40	40	40	0.01441
GO:0034968	histone lysine methylation	233	233	233	0.01544
GO:0009939	positive regulation of gibberellic acid mediated signaling pathway	6	6	6	0.01619
GO:0010204	defense response signaling pathway, resistance gene-independent	12	12	12	0.01621
GO:0010260	animal organ senescence	28	28	28	0.01651
GO:0000226	microtubule cytoskeleton organization	242	242	242	0.01665
GO:0090332	stomatal closure	18	18	18	0.01698
GO:0009819	drought recovery	4	4	4	0.01723
GO:0006407	rRNA export from nucleus	5	5	5	0.01839
GO:0010075	regulation of meristem growth	166	166	166	0.01897
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4	4	4	0.01929
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU...	4	4	4	0.01929
GO:2000652	regulation of secondary cell wall biogenesis	15	15	15	0.01968
GO:0007029	endoplasmic reticulum organization	7	7	7	0.02013
GO:0042538	hyperosmotic salinity response	153	153	153	0.02045
GO:0042991	transcription factor import into nucleus	37	37	37	0.02142
GO:0055072	iron ion homeostasis	30	30	30	0.02149
GO:0048513	animal organ development	159	159	159	0.02152
GO:1902418	(+)-abscisic acid D-glucopyranosyl ester transmembrane transport	2	2	2	0.02223
GO:0006879	cellular iron ion homeostasis	11	11	11	0.02247
GO:0042547	cell wall modification involved in multidimensional cell growth	21	21	21	0.02320
GO:0006520	cellular amino acid metabolic process	665	665	665	0.02459
GO:0080175	phragmoplast microtubule organization	4	4	4	0.02470
GO:0008283	cell proliferation	255	255	255	0.02496
GO:0031053	primary miRNA processing	4	4	4	0.02559
GO:0051225	spindle assembly	46	46	46	0.02662
GO:0016570	histone modification	352	352	352	0.02705
GO:0090436	leaf pavement cell development	3	3	3	0.02814
GO:0007033	vacuole organization	55	55	55	0.02905
GO:0007010	cytoskeleton organization	472	472	472	0.02971
GO:0009061	anaerobic respiration	9	9	9	0.02995
GO:0016036	cellular response to phosphate starvation	122	122	122	0.03120
GO:0032508	DNA duplex unwinding	13	13	13	0.03124
GO:0009809	lignin biosynthetic process	43	43	43	0.03196
GO:0042542	response to hydrogen peroxide	183	183	183	0.03227
GO:0000373	Group II intron splicing	11	11	11	0.03274
GO:1901959	positive regulation of cutin biosynthetic process	3	3	3	0.03354
GO:0009555	pollen development	237	237	237	0.03377
GO:0009410	response to xenobiotic stimulus	72	72	72	0.03405
GO:0052033	pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response	6	6	6	0.03433
GO:0002229	defense response to oomycetes	10	10	10	0.03551
GO:0009413	response to flooding	2	2	2	0.03567
GO:0042753	positive regulation of circadian rhythm	6	6	6	0.03617
GO:0016572	histone phosphorylation	62	62	62	0.03809
GO:0006913	nucleocytoplasmic transport	180	180	180	0.03872
GO:0010162	seed dormancy process	136	136	136	0.03876
GO:0006094	gluconeogenesis	158	158	158	0.03988
GO:0080185	effector dependent induction by symbiont of host immune response	2	2	2	0.04016
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	118	118	118	0.04029
GO:0080148	negative regulation of response to water deprivation	3	3	3	0.04143
