pathway.code	pathway.name	p.value	Annotated
ath03010	Ribosome - Arabidopsis thaliana (thale cress)	5.37858910508805e-35	301
ath00966	Glucosinolate biosynthesis - Arabidopsis thaliana (thale cress)	2.57284506129555e-06	22
ath04141	Protein processing in endoplasmic reticulum - Arabidopsis thaliana (thale cress)	4.85700309169179e-06	186
ath00071	Fatty acid degradation - Arabidopsis thaliana (thale cress)	1.5802817161189e-05	40
ath03013	RNA transport - Arabidopsis thaliana (thale cress)	0.000210784926978934	151
ath00592	alpha-Linolenic acid metabolism - Arabidopsis thaliana (thale cress)	0.00112710801933166	33
ath04145	Phagosome - Arabidopsis thaliana (thale cress)	0.00118398346863446	80
ath03040	Spliceosome - Arabidopsis thaliana (thale cress)	0.00141015758836373	174
ath01040	Biosynthesis of unsaturated fatty acids - Arabidopsis thaliana (thale cress)	0.00162118692930067	29
ath04136	Autophagy - other - Arabidopsis thaliana (thale cress)	0.00198990862083985	39
ath04146	Peroxisome - Arabidopsis thaliana (thale cress)	0.00418068834117527	80
ath00280	Valine, leucine and isoleucine degradation - Arabidopsis thaliana (thale cress)	0.00733208024580697	43
ath03008	Ribosome biogenesis in eukaryotes - Arabidopsis thaliana (thale cress)	0.00811798678270694	87
ath00760	Nicotinate and nicotinamide metabolism - Arabidopsis thaliana (thale cress)	0.0104191550202977	16
ath04120	Ubiquitin mediated proteolysis - Arabidopsis thaliana (thale cress)	0.0206644195584317	110
ath00061	Fatty acid biosynthesis - Arabidopsis thaliana (thale cress)	0.0236427006447309	39
ath00561	Glycerolipid metabolism - Arabidopsis thaliana (thale cress)	0.0305799907492731	55
ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)	0.0323457251300192	58
ath03015	mRNA surveillance pathway - Arabidopsis thaliana (thale cress)	0.034917984480632	107
ath00909	Sesquiterpenoid and triterpenoid biosynthesis - Arabidopsis thaliana (thale cress)	0.0543546383505645	20
ath00901	Indole alkaloid biosynthesis - Arabidopsis thaliana (thale cress)	0.0546363178958333	10
ath00904	Diterpenoid biosynthesis - Arabidopsis thaliana (thale cress)	0.0589135618433496	14
