Gene	adj.P.Val
ENSMUSG00000033857.12	7.41658187141585e-14
ENSMUSG00000054715.11	7.41658187141585e-14
ENSMUSG00000105940.1	7.41658187141585e-14
ENSMUSG00000032382.14	1.09850570188343e-13
ENSMUSG00000027208.14	1.20689329054992e-13
ENSMUSG00000020063.16	3.18572284467725e-13
ENSMUSG00000032342.13	9.0380710398122e-13
ENSMUSG00000047021.14	9.5791069950083e-13
ENSMUSG00000021482.9	9.5791069950083e-13
ENSMUSG00000017615.12	9.9927886706343e-13
ENSMUSG00000058192.15	1.07422880357696e-12
ENSMUSG00000020925.16	1.66873839862942e-12
ENSMUSG00000029471.13	2.21389301079277e-12
ENSMUSG00000078348.4	2.80187797186993e-12
ENSMUSG00000015094.16	2.80187797186993e-12
ENSMUSG00000042284.9	5.40542771111703e-12
ENSMUSG00000042505.6	7.42422727929867e-12
ENSMUSG00000036040.14	8.1802534756574e-12
ENSMUSG00000019795.17	1.53894791709926e-11
ENSMUSG00000104572.4	2.75566648145148e-11
ENSMUSG00000060380.2	3.08983224883809e-11
ENSMUSG00000015405.15	4.35828436227137e-11
ENSMUSG00000083306.1	4.53926780347999e-11
ENSMUSG00000035093.16	5.64876201086071e-11
ENSMUSG00000063296.4	5.98321687317517e-11
ENSMUSG00000012123.15	5.99228691571837e-11
ENSMUSG00000032643.12	1.69964834246547e-10
ENSMUSG00000104118.1	1.73978416068582e-10
ENSMUSG00000097468.1	1.87345278580262e-10
ENSMUSG00000029151.14	2.47101374259231e-10
ENSMUSG00000025875.14	2.59833547901994e-10
ENSMUSG00000031605.8	2.89627334244679e-10
ENSMUSG00000024534.15	2.89627334244679e-10
ENSMUSG00000005705.10	4.18041331794017e-10
ENSMUSG00000074826.10	5.54012275847722e-10
ENSMUSG00000051007.15	6.64869052456737e-10
ENSMUSG00000072258.10	7.29454314936939e-10
ENSMUSG00000004936.8	8.5737444894187e-10
ENSMUSG00000040147.14	9.74243719865501e-10
ENSMUSG00000106820.1	9.74243719865501e-10
ENSMUSG00000036492.12	9.74243719865501e-10
ENSMUSG00000102426.1	1.22481588353053e-09
ENSMUSG00000051166.9	1.29196251363779e-09
ENSMUSG00000014550.14	1.53635241925811e-09
ENSMUSG00000085042.7	1.55597831672371e-09
ENSMUSG00000001891.16	1.90653291093116e-09
ENSMUSG00000026972.15	1.98293229968193e-09
ENSMUSG00000024044.16	2.44889893604741e-09
ENSMUSG00000031377.11	2.45765458127548e-09
ENSMUSG00000030500.6	2.6317485560795e-09
ENSMUSG00000066682.11	2.63701853388047e-09
ENSMUSG00000021697.12	3.43502459927918e-09
ENSMUSG00000062352.13	3.44913508181174e-09
ENSMUSG00000030685.5	3.47094843662403e-09
ENSMUSG00000022519.13	3.47094843662403e-09
ENSMUSG00000049339.16	3.47094843662403e-09
ENSMUSG00000020712.11	3.47094843662403e-09
ENSMUSG00000056429.4	3.62449361935263e-09
ENSMUSG00000034659.14	3.63726693748278e-09
ENSMUSG00000004558.14	3.90787222354302e-09
ENSMUSG00000029635.15	4.0266175735608e-09
ENSMUSG00000022684.14	4.31193376870179e-09
ENSMUSG00000021176.5	4.70843875668182e-09
ENSMUSG00000046675.6	5.18567154937295e-09
ENSMUSG00000034566.10	5.70137996971837e-09
ENSMUSG00000074575.4	1.04260107134574e-08
ENSMUSG00000062309.7	1.41184978183577e-08
ENSMUSG00000031157.10	1.41184978183577e-08
ENSMUSG00000080893.1	1.47805114816471e-08
ENSMUSG00000068587.9	1.93516990164601e-08
ENSMUSG00000027344.13	1.97415589599395e-08
ENSMUSG00000074673.15	1.98250686652844e-08
ENSMUSG00000019689.4	2.05358923170328e-08
ENSMUSG00000039070.5	2.40197372645082e-08
ENSMUSG00000020686.12	2.51840812768353e-08
ENSMUSG00000019489.7	3.37402314996964e-08
ENSMUSG00000031231.4	3.5614921656663e-08
ENSMUSG00000102321.1	3.75462731097869e-08
ENSMUSG00000074623.4	3.85945665134935e-08
ENSMUSG00000029832.16	4.0618495295228e-08
ENSMUSG00000074576.4	4.25016320223703e-08
ENSMUSG00000046191.7	4.5969982005699e-08
ENSMUSG00000030960.16	4.7990902215175e-08
ENSMUSG00000047228.9	5.62423572587027e-08
ENSMUSG00000028961.15	5.77687229866539e-08
ENSMUSG00000009551.2	5.77687229866539e-08
ENSMUSG00000032315.5	5.79041810814164e-08
ENSMUSG00000023571.4	7.20567634860664e-08
ENSMUSG00000015711.8	7.53492301902855e-08
ENSMUSG00000099881.1	7.96562621760396e-08
ENSMUSG00000031662.8	8.56309950877001e-08
ENSMUSG00000097251.2	9.138920723756e-08
ENSMUSG00000000902.13	1.00256352488788e-07
ENSMUSG00000020807.14	1.17896194120177e-07
ENSMUSG00000093405.1	1.2062602906267e-07
ENSMUSG00000082536.1	1.20942895829336e-07
ENSMUSG00000059669.7	1.78788935947543e-07
ENSMUSG00000027276.7	1.91207817589182e-07
ENSMUSG00000107002.1	1.92830226248996e-07
ENSMUSG00000055652.14	2.11308233944554e-07
ENSMUSG00000023905.14	2.31755696520863e-07
ENSMUSG00000023885.8	2.35232445249667e-07
ENSMUSG00000045092.8	2.35232445249667e-07
ENSMUSG00000033467.12	2.59174475862979e-07
ENSMUSG00000048310.8	2.80903918779573e-07
ENSMUSG00000027359.16	2.99084121681368e-07
ENSMUSG00000108555.1	3.0572915799655e-07
ENSMUSG00000028514.15	3.05898526346613e-07
ENSMUSG00000020275.9	3.06232373942426e-07
ENSMUSG00000105272.1	3.07216572103631e-07
ENSMUSG00000074579.13	3.07216572103631e-07
ENSMUSG00000025417.7	3.09827989872595e-07
ENSMUSG00000073154.10	3.83079241871094e-07
ENSMUSG00000022889.7	3.85957847127497e-07
ENSMUSG00000030051.10	3.85957847127497e-07
ENSMUSG00000029607.14	3.89909732735571e-07
ENSMUSG00000033157.16	4.09207154806589e-07
ENSMUSG00000019943.9	4.58658981079066e-07
ENSMUSG00000033826.9	5.40766760635933e-07
ENSMUSG00000020928.14	5.60954555819601e-07
ENSMUSG00000086296.2	5.82146862039553e-07
ENSMUSG00000054910.5	5.82146862039553e-07
ENSMUSG00000029623.14	6.75589061794727e-07
ENSMUSG00000073436.11	7.10024492264974e-07
ENSMUSG00000024565.8	7.25723445456644e-07
ENSMUSG00000097476.1	7.26105987543213e-07
ENSMUSG00000028322.11	7.26105987543213e-07
ENSMUSG00000086804.8	8.13323625122702e-07
ENSMUSG00000021508.10	8.39133954217583e-07
ENSMUSG00000041891.15	8.92338281256954e-07
ENSMUSG00000035248.8	8.92338281256954e-07
ENSMUSG00000102397.1	8.92338281256954e-07
ENSMUSG00000058093.12	8.97346915454325e-07
ENSMUSG00000063687.3	9.04934615504244e-07
ENSMUSG00000026817.14	9.06004510469976e-07
ENSMUSG00000024735.13	9.44067522851411e-07
ENSMUSG00000040009.5	9.84585584377249e-07
ENSMUSG00000024215.13	1.04151139110284e-06
ENSMUSG00000002324.7	1.04221093425694e-06
ENSMUSG00000043301.15	1.06296090573157e-06
ENSMUSG00000026203.16	1.11188842837223e-06
ENSMUSG00000028693.15	1.11571210110767e-06
ENSMUSG00000060601.13	1.1658013747095e-06
ENSMUSG00000106980.1	1.1658013747095e-06
ENSMUSG00000023007.15	1.1658013747095e-06
ENSMUSG00000028431.11	1.1658013747095e-06
ENSMUSG00000001021.12	1.21764356867814e-06
ENSMUSG00000100241.1	1.24056937196838e-06
ENSMUSG00000066554.6	1.29213187460814e-06
ENSMUSG00000025724.12	1.29466195750648e-06
ENSMUSG00000050875.11	1.35709925684738e-06
ENSMUSG00000030120.14	1.38273808706433e-06
ENSMUSG00000063458.12	1.42316531637413e-06
ENSMUSG00000015697.14	1.42842045897215e-06
ENSMUSG00000040225.15	1.57848258761075e-06
ENSMUSG00000074637.7	1.71930701129903e-06
ENSMUSG00000023995.11	1.80327517858615e-06
ENSMUSG00000001227.11	1.86926660907853e-06
ENSMUSG00000042812.5	1.86926660907853e-06
ENSMUSG00000097482.2	1.87018848670706e-06
ENSMUSG00000026409.14	1.89512126806947e-06
ENSMUSG00000021428.8	1.89512126806947e-06
ENSMUSG00000022545.13	2.01725674550005e-06
ENSMUSG00000086645.2	2.06551729049746e-06
ENSMUSG00000029598.12	2.1910586260216e-06
ENSMUSG00000104375.1	2.31231590985218e-06
ENSMUSG00000020415.16	2.3269930068217e-06
ENSMUSG00000042042.14	2.3269930068217e-06
ENSMUSG00000034748.16	2.33924174329654e-06
ENSMUSG00000105740.1	2.47246108036681e-06
ENSMUSG00000042570.14	2.57056372425413e-06
ENSMUSG00000039676.3	2.59377950959862e-06
ENSMUSG00000020388.12	2.74893856089457e-06
ENSMUSG00000060621.5	3.04296972746218e-06
ENSMUSG00000083899.2	3.0489508927217e-06
ENSMUSG00000028102.15	3.24813730209099e-06
ENSMUSG00000086171.7	3.24912267070992e-06
ENSMUSG00000091896.7	3.27600336688023e-06
ENSMUSG00000071266.13	3.27600336688023e-06
ENSMUSG00000038332.12	3.43516016081009e-06
ENSMUSG00000097471.8	3.43516016081009e-06
ENSMUSG00000021600.3	3.43516016081009e-06
ENSMUSG00000039414.9	3.43516016081009e-06
ENSMUSG00000045877.2	3.49537284750179e-06
ENSMUSG00000090796.1	3.49537284750179e-06
ENSMUSG00000090317.1	3.53635459425848e-06
ENSMUSG00000078484.3	3.54497080760222e-06
ENSMUSG00000042759.12	3.66570507372536e-06
ENSMUSG00000028675.12	3.66570507372536e-06
ENSMUSG00000003848.14	3.66570507372536e-06
ENSMUSG00000023947.7	3.71650830727331e-06
ENSMUSG00000055200.7	3.71650830727331e-06
ENSMUSG00000051890.13	3.79859207114909e-06
ENSMUSG00000028282.12	3.79953215239324e-06
ENSMUSG00000029364.15	3.80222546423016e-06
ENSMUSG00000039838.11	3.82181074360119e-06
ENSMUSG00000038697.14	3.96320936902555e-06
ENSMUSG00000031493.10	4.00877829691272e-06
ENSMUSG00000044348.14	4.10585989821483e-06
ENSMUSG00000045932.12	4.20811593063039e-06
ENSMUSG00000038593.18	4.45085162424739e-06
ENSMUSG00000026841.7	4.46321983552864e-06
ENSMUSG00000039615.8	4.73517929549463e-06
ENSMUSG00000010608.15	4.89201929798922e-06
ENSMUSG00000027698.14	4.89201929798922e-06
ENSMUSG00000107813.1	4.91468208497388e-06
ENSMUSG00000021832.7	5.10552573268701e-06
ENSMUSG00000041112.15	5.5791081013698e-06
ENSMUSG00000021731.9	5.69278917412416e-06
ENSMUSG00000031344.11	5.81277760962163e-06
ENSMUSG00000000253.12	6.29800908424049e-06
ENSMUSG00000022314.9	6.92005044838548e-06
ENSMUSG00000033904.16	7.4362271389905e-06
ENSMUSG00000032500.10	7.70253506171734e-06
ENSMUSG00000093846.1	7.81296963906325e-06
ENSMUSG00000061100.3	7.9938790086231e-06
ENSMUSG00000021959.15	8.21437449334501e-06
ENSMUSG00000014846.12	8.6302140840327e-06
ENSMUSG00000000078.6	8.75628147733159e-06
ENSMUSG00000028608.15	8.80704576285728e-06
ENSMUSG00000033063.7	8.84816235054903e-06
ENSMUSG00000010362.9	9.18626947468424e-06
ENSMUSG00000079553.10	9.18626947468424e-06
ENSMUSG00000080645.1	9.28639707789231e-06
ENSMUSG00000032023.7	9.59614954758679e-06
ENSMUSG00000022248.14	9.68518351464829e-06
ENSMUSG00000029203.16	9.80570134091071e-06
ENSMUSG00000097817.2	9.80570134091071e-06
ENSMUSG00000105010.1	9.80570134091071e-06
ENSMUSG00000055762.15	1.00361846281791e-05
ENSMUSG00000020840.10	1.00764198703884e-05
ENSMUSG00000070072.1	1.02894454656639e-05
ENSMUSG00000103898.1	1.05254066871825e-05
ENSMUSG00000016510.11	1.0678252971887e-05
ENSMUSG00000030019.6	1.11168843624705e-05
ENSMUSG00000037217.15	1.11168843624705e-05
ENSMUSG00000056144.14	1.12211963132278e-05
ENSMUSG00000031343.13	1.12211963132278e-05
ENSMUSG00000106978.1	1.13604936403006e-05
ENSMUSG00000031367.15	1.13615258322241e-05
ENSMUSG00000072769.6	1.24313430053971e-05
ENSMUSG00000026213.15	1.28675852431834e-05
ENSMUSG00000004069.16	1.29553373350189e-05
ENSMUSG00000024379.3	1.32730788613916e-05
ENSMUSG00000031433.15	1.36053940525406e-05
ENSMUSG00000052125.16	1.61262317515537e-05
ENSMUSG00000054387.13	1.62427683397567e-05
ENSMUSG00000000305.12	1.63548386181855e-05
ENSMUSG00000040463.16	1.64369947633404e-05
ENSMUSG00000044702.13	1.67495771911768e-05
ENSMUSG00000052632.15	1.73710272856577e-05
ENSMUSG00000037653.7	1.74391510402677e-05
ENSMUSG00000020526.12	1.77632049864312e-05
ENSMUSG00000098128.1	1.78341325672589e-05
ENSMUSG00000039546.9	1.78341325672589e-05
ENSMUSG00000033763.14	1.7996068228701e-05
ENSMUSG00000042055.13	1.81141037985009e-05
ENSMUSG00000029859.6	1.81318886220578e-05
ENSMUSG00000102452.1	1.85949655510227e-05
ENSMUSG00000049606.16	1.95577304379695e-05
ENSMUSG00000043488.5	2.01925757309331e-05
ENSMUSG00000051331.14	2.05440693064662e-05
ENSMUSG00000033538.13	2.11126571537859e-05
ENSMUSG00000048271.14	2.19559221849526e-05
ENSMUSG00000008475.13	2.22697471405095e-05
ENSMUSG00000040610.7	2.28445738157183e-05
ENSMUSG00000050088.9	2.30057923244364e-05
ENSMUSG00000025574.13	2.30057923244364e-05
ENSMUSG00000042474.6	2.30057923244364e-05
ENSMUSG00000026333.14	2.36200926998707e-05
ENSMUSG00000022433.18	2.44519055544019e-05
ENSMUSG00000055835.9	2.50485210675658e-05
ENSMUSG00000109231.1	2.50485210675658e-05
ENSMUSG00000109245.1	2.5068570815207e-05
ENSMUSG00000058402.14	2.58955020297438e-05
ENSMUSG00000028195.4	2.6280632527964e-05
ENSMUSG00000014355.10	2.63350677124128e-05
ENSMUSG00000035235.12	2.63838650224284e-05
ENSMUSG00000021636.14	2.63838650224284e-05
ENSMUSG00000020680.15	2.64123594763582e-05
