C61	C62
AT1G01010	341	371
AT1G01020	164	94
AT1G03987	0	0
AT1G01030	20	34
AT1G01040	738	487
AT1G03993	1	0
AT1G01046	1	1
AT1G01050	1515	1091
AT1G03997	0	0
AT1G01060	2867	2676
AT1G01070	314	244
AT1G04003	0	0
AT1G01080	77	88
AT1G01090	3661	3018
AT1G01100	4470	2939
AT1G01110	154	105
AT1G01120	2039	2890
AT1G01130	19	19
AT1G01140	22	72
AT1G01150	0	0
AT1G01160	545	349
AT1G04007	1	0
AT1G01170	81	97
AT1G04013	0	0
AT1G01180	340	389
AT1G01183	0	0
AT1G01190	161	192
AT1G01200	117	86
AT1G01210	156	132
AT1G04017	0	0
AT1G01220	377	349
AT1G04023	0	0
AT1G01225	86	73
AT1G01230	507	438
AT1G01240	337	279
AT1G01250	0	3
AT1G01260	429	322
AT1G01270	0	0
AT1G01280	0	0
AT1G01290	200	137
AT1G01300	1213	825
AT1G01305	0	0
AT1G01310	5	2
AT1G01320	369	877
AT1G01335	0	0
AT1G01340	341	343
AT1G01350	321	235
AT1G01355	0	0
AT1G01360	403	380
AT1G01370	86	44
AT1G01380	5	11
AT1G01390	1	12
AT1G01400	0	0
AT1G01410	0	0
AT1G01420	153	147
AT1G01430	705	722
AT1G01440	408	396
AT1G01448	221	134
AT1G01450	1	0
AT1G01453	121	120
AT1G01460	0	0
AT1G01470	617	582
AT1G01480	82	74
AT1G01490	1578	1524
AT1G01500	129	130
AT1G01510	786	499
AT1G01520	3	22
AT1G01530	0	0
AT1G01540	962	698
AT1G01550	3013	3115
AT1G01560	3	2
AT1G01570	75	71
AT1G01580	744	921
AT1G01590	0	0
AT1G01600	213	231
AT1G01610	2854	3398
AT1G01620	18080	15455
AT1G01630	911	895
AT1G01640	299	240
AT1G01650	599	446
AT1G04027	3	0
AT1G01660	150	121
AT1G01670	21	14
AT1G01680	0	2
AT1G01690	107	78
AT1G01695	1	6
AT1G04033	0	0
AT1G04037	0	0
AT1G01700	7	3
AT1G01710	450	427
AT1G01715	34	17
AT1G04043	1	1
AT1G01720	575	544
AT1G01725	63	33
AT1G04047	4	0
AT1G01730	373	300
AT1G01740	91	46
AT1G01750	743	752
AT1G04053	23	6
AT1G01760	60	39
AT1G04057	0	0
AT1G01770	232	171
AT1G01780	816	635
AT1G01790	400	497
AT1G04063	0	0
AT1G01800	934	836
AT1G01810	5	5
AT1G01820	626	518
AT1G01830	313	186
AT1G04067	0	0
AT1G01840	16	16
AT1G01860	85	84
AT1G04073	0	0
AT1G01870	0	0
AT1G01880	21	11
AT1G01890	0	0
AT1G01900	140	164
AT1G04077	0	1
AT1G01910	783	603
AT1G04083	1	1
AT1G01920	307	183
AT1G01930	280	147
AT1G01940	307	176
AT1G01950	478	312
AT1G01960	2749	2148
AT1G01970	79	75
AT1G01980	0	0
AT1G01990	315	282
AT1G02000	612	569
AT1G02010	142	89
AT1G02020	170	132
AT1G02030	33	29
AT1G02040	2	0
AT1G02050	116	51
AT1G02060	125	91
AT1G02065	0	7
AT1G02067	0	0
AT1G02070	0	3
AT1G02080	2734	2144
AT1G02090	632	450
AT1G02100	757	507
AT1G02110	406	220
AT1G02120	1155	864
AT1G02130	776	628
AT1G04087	0	0
AT1G02140	1298	1056
AT1G02145	392	225
AT1G02150	373	346
AT1G02160	216	153
AT1G02170	689	604
AT1G02180	43	38
AT1G02190	0	0
AT1G02205	50	67
AT1G04093	0	0
AT1G02210	0	0
AT1G02220	260	224
AT1G02230	4	8
AT1G02250	3	1
AT1G02260	263	252
AT1G02270	240	213
AT1G02280	269	197
AT1G02290	190	188
AT1G02300	35	27
AT1G02305	2353	2559
AT1G04097	0	1
AT1G02310	35	27
AT1G04103	6	5
AT1G02320	0	0
AT1G02330	519	316
AT1G02335	288	387
AT1G02340	95	131
AT1G02350	28	14
AT1G02360	1351	1379
AT1G02370	177	116
AT1G02380	57	42
AT1G02390	63	51
AT1G02400	483	463
AT1G02405	0	5
AT1G02410	372	262
AT1G02420	90	56
AT1G04117	0	0
AT1G02430	6	6
AT1G04123	5	0
AT1G02440	0	3
AT1G02450	1	0
