C91	C92	C93
400	542	377
200	183	166
0	0	0
28	36	22
945	1033	836
0	0	0
5	3	0
1485	1581	1205
0	0	0
5513	6646	7596
216	194	209
0	0	0
72	44	113
2933	2665	2864
5479	4023	3594
243	185	161
1074	1563	1696
15	6	7
76	7	115
2	4	2
504	535	472
2	0	2
137	100	148
0	0	0
222	350	451
1	0	0
171	153	129
66	77	66
191	112	126
0	0	0
596	589	495
0	1	0
72	76	66
481	539	474
559	679	540
0	1	1
387	439	329
0	0	0
0	0	0
205	185	165
1242	1051	921
0	0	0
6	0	6
853	307	1333
0	0	0
514	933	601
386	368	335
0	0	1
565	769	536
94	85	76
19	15	32
4	0	3
0	0	0
0	0	0
88	115	149
545	606	707
419	644	491
292	402	275
0	0	1
79	205	161
0	0	0
545	610	521
31	110	81
1121	1345	1575
49	75	95
896	847	714
13	5	19
0	0	0
899	931	951
2292	3276	2618
0	3	6
82	124	114
2398	4869	7130
3	0	0
104	135	260
1209	1797	2047
14644	22593	18246
661	925	907
490	559	403
1075	1408	953
6	7	4
115	275	241
44	39	29
3	0	3
172	136	121
6	8	5
0	1	6
0	0	0
23	5	12
342	400	384
39	17	30
0	0	0
870	944	865
102	98	83
1	0	0
463	472	412
83	75	56
405	897	760
19	15	7
94	86	69
0	0	0
332	339	266
434	718	554
697	559	783
0	0	0
1077	1145	932
7	7	8
733	938	779
352	431	311
0	0	0
16	19	16
118	97	83
0	0	0
0	0	0
25	16	25
0	0	0
94	141	80
1	4	2
941	910	795
1	0	0
350	250	231
239	244	205
229	185	179
438	515	439
2919	3211	2443
99	105	103
0	0	0
332	307	302
317	514	479
193	220	167
122	175	132
26	44	30
1	11	5
157	115	89
148	132	132
0	0	4
0	0	0
5	4	6
3276	4122	3252
602	457	440
892	918	727
466	417	366
1322	1565	1299
820	810	694
0	0	0
1249	1264	1077
389	381	338
426	319	387
203	229	177
497	583	468
57	52	45
0	0	0
38	41	75
0	0	0
0	0	0
318	376	228
6	5	4
2	10	1
373	474	349
199	292	211
365	286	391
232	215	190
78	105	71
2175	3601	2593
0	1	2
12	21	29
4	0	1
0	0	0
531	528	411
250	398	455
164	323	186
