CITY	SO2	MANUF	POP	TEMP	WIND	PRECIP-IN	PRECIP-DAY
Phoenix	10	213	582	70.3	6	7.05	36
Little Rock	13	91	132	61	8.2	48.52	100
San Francisco	12	453	716	56.7	8.7	20.66	67
Denver	17	454	515	51.9	9	12.95	86
Hartford	56	412	158	49.1	9	43.37	127
Wilmington	36	80	80	54	9	40.25	114
Washington	29	434	757	57.3	9.3	38.89	111
Jacksonville	14	136	529	68.4	8.8	54.47	116
Miami	10	207	335	75.5	9	59.8	128
Atlanta	24	368	497	61.5	9.1	48.34	115
Chicago	110	3344	3369	50.6	10.4	34.44	122
Indianapolis	28	361	746	52.3	9.7	38.74	121
Des Moines	17	104	201	49	11.2	30.85	103
Wichita	8	125	277	56.6	12.7	30.58	82
Louisville	30	291	593	55.6	8.3	43.11	123
New Orleans	9	204	361	68.3	8.4	56.77	113
Baltimore	47	625	905	55	9.6	41.31	111
Detroit	35	1064	1513	49.9	10.1	30.96	129
Minneapolis-St. Paul	29	699	744	43.5	10.6	25.94	137
Kansas City	14	381	507	54.5	10	37	99
St. Louis	56	775	622	55.9	9.5	35.89	105
Omaha	14	181	347	51.5	10.9	30.18	98
Albuquerque	11	46	244	56.8	8.9	7.77	58
Albany	46	44	116	47.6	8.8	33.36	135
Buffalo	11	391	463	47.1	12.4	36.11	166
Cincinnati	23	462	453	54	7.1	39.04	132
Cleveland	65	1007	751	49.7	10.9	34.99	155
Columbus	26	266	540	51.5	8.6	37.01	134
Philadelphia	69	1692	1950	54.6	9.6	39.93	115
Pittsburgh	61	347	520	50.4	9.4	36.22	147
Providence	94	343	179	50	10.6	42.75	125
Memphis	10	337	624	61.6	9.2	49.1	105
Nashville	18	275	448	59.4	7.9	46	119
Dallas	9	641	844	66.2	10.9	35.94	78
Houston	10	721	1233	68.9	10.8	48.19	103
Salt Lake City	28	137	176	51	8.7	15.17	89
Norfolk	31	96	308	59.3	10.6	44.68	116
Richmond	26	197	299	57.8	7.6	42.59	115
Seattle	29	379	531	51.1	9.4	38.79	164
Charleston	31	35	71	55.2	6.5	40.75	148
Milwaukee	16	569	717	45.7	11.8	29.07	123
