cells cutoff bases_to_assembly seqi seql total_bases
37 12000 23979104332 1135990 2607060 31850992665
37 10000 26089848599 1328131 2607060 31850992665
37 8000 27929322953 1532712 2607060 31850992665
37 5000 30036864843 1857981 2607060 31850992665
37 4000 30565929155 1975725 2607060 31850992665
37 3000 31023641458 2106874 2607060 31850992665
43 12000 29682469978 1401830 3187496 39329277223
43 10000 32280388559 1638317 3187496 39329277223
43 8000 34542365401 1889890 3187496 39329277223
43 5000 37140949854 2290946 3187496 39329277223
43 4000 37791815711 2435784 3187496 39329277223
43 3000 38351095516 2596037 3187496 39329277223
46 12000 32540274019 1534029 3451511 42985052382
46 10000 35376340787 1792190 3451511 42985052382
46 8000 37837720503 2065945 3451511 42985052382
46 5000 40655728482 2500750 3451511 42985052382
46 4000 41356698344 2656717 3451511 42985052382
46 3000 41954360023 2827930 3451511 42985052382
58 12000 43788066600 2053656 4472678 57210464022
